search_keyword,title,company,location,salary_min,salary_max,created,description,experience_level,skills_found
data analyst,Data Analyst,Mr n Mrs Pet,"Jaipur, Rajasthan",100000.0,300000.0,2022-07-22T06:48:32Z,"Requirements: Bachelor’s degree from university or college in computer science. Work experience as a data analyst or in a related field. Ability to work with stakeholders to assess potential risks. Ability to analyse existing tools and databases and provide software solution recommendations. Ability to translate business requirements into non-technical, lay terms. High-level experience in methodologies and processes for managing large-scale databases. Demonstrated experience in handling large d…",Mid-level / Not Specified,Not mentioned
data analyst,Senior Data Analyst - Business Insights,YourHRfolks,"Jaipur, Rajasthan",650000.0,1600000.0,2021-05-26T12:51:52Z,"About Us Punchh is the leader in customer loyalty, offer management, and AI solutions for offline and omni-channel merchants including restaurants, convenience stores, and retailers. Punchh brings the power of online to physical brands by delivering omni-channel experiences and personalization across the entire customer journeyfrom acquisition through loyalty and growthto drive same store sales and customer lifetime value. Punchh uses best-in-class integrations to POS and other in-store systems…",Senior,Not mentioned
data analyst,Data Engineer,Nexmec Automation,"Jaipur, Rajasthan",,,2026-06-05T14:54:57Z,"Job Description We are looking for a skilled and motivated Data Engineer to join our team. The candidate will be responsible for building, managing, and optimizing data pipelines and databases to support business operations and analytics. The ideal candidate should have strong technical knowledge, problem-solving skills, and experience working with large datasets. Responsibilities Design, build, and maintain scalable data pipelines Collect, process, and organize large volumes of data Develop an…",Mid-level / Not Specified,Not mentioned
data analyst,PHP Developer,Charu Papers,"Jaipur, Rajasthan",500000.0,800000.0,2021-12-26T04:19:48Z,"Good knowledge of SQL and related databases, with a preference for those with MySQL experience. Excellent knowledge of the basic PHP 7 or web server exploits along with their solutions. Experience building or maintaining a CMS. Knowledge of MVC frameworks. A detailed understanding of database design and administration. Proficiency when it comes to code versioning tools. The ability to integrate a variety of data sources and databases into a single system. Proficiency when it comes to code versi…",Mid-level / Not Specified,"sql, excel"
data analyst,Power BI Developer,Resources Valley,"Jaipur, Rajasthan",600000.0,1600000.0,2025-08-27T05:48:43Z,"Key Responsibilities: Design, develop, and maintain interactive dashboards and reports using Power BI and Looker. Write and optimize DAX queries to support complex business logic and calculations. Collaborate with data engineers, analysts, and business stakeholders to understand reporting needs and translate them into technical solutions. Ensure data accuracy, consistency, and performance across BI solutions. Perform data analysis and validation to support business initiatives. Automate and str…",Mid-level / Not Specified,power bi
data analyst,TeleSales Executive,Not Available,"Jaipur, Rajasthan",,,2024-05-10T07:38:31Z,"1 years of Telesales Experience in Bank, Insurance or health Industry · Experience developing a telesales & strong sales team · Strong analytical skills. Proven ability to review detailed data and create valuable analyst · Working knowledge of medium-large operations in bank, insurance or Medical Telesales · English minimum passive.",Mid-level / Not Specified,Not mentioned
data analyst,Fullstack Developer,Memorres Digital Pvt Ltd,"Jaipur, Rajasthan",500000.0,800000.0,2021-11-14T04:22:10Z,"Job brief We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable with both front-end and back-end coding languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility. If you’re also familiar with Agile me…",Mid-level / Not Specified,Not mentioned
data analyst,Nodejs API Developer,Celebal Technologies Pvt Ltd,"Jaipur, Rajasthan",300000.0,1800000.0,2023-06-20T17:01:50Z,"Job Brief: We are looking for experience in API and Node.js to produce scalable software solutions. You will be part of a cross-functional team that is responsible for the full software development life cycle, from conception to deployment. You should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility. Responsibilities: · Work with development teams and …",Mid-level / Not Specified,Not mentioned
data analyst,.NET Nodejs Developer,Celebal Technologies,"Jaipur, Rajasthan",300000.0,1500000.0,2022-08-26T06:41:21Z,"Job Brief: We are looking for a C# .Net Developer with experience in API and Node.js to produce scalable software solutions. You will be part of a cross-functional team that is responsible for the full software development life cycle, from conception to deployment. You should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility. Responsibilities: • Work wi…",Mid-level / Not Specified,Not mentioned
data analyst,Full Stack Developer,Infomagine Softwares Pvt Ltd,"Jaipur, Rajasthan",300000.0,1000000.0,2022-10-11T07:23:35Z,"Description We are looking for a Full Stack Developer to produce scalable software solutions. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. As a Full Stack Developer, you should be comfortable with both front-end and back-end coding languages, development frameworks and third-party libraries. You should also be a team player with a knack for visual design and utility. If you’re also familiar with Agile m…",Mid-level / Not Specified,Not mentioned
data analyst,Data QA Specialist,YipitData,"Jaipur, Rajasthan",,,2025-02-07T11:21:48Z,"About Us: YipitData is the market-leading data and analytics firm. We analyze billions of data points every day to provide accurate, detailed insights across industries, including consumer brands, technology, software, and healthcare. Our insights team uses proprietary technology to identify, license, clean, and analyze the data that many of the worlds largest investment funds and corporations depend on. We raised $475M from The Carlyle Group at a valuation over $1B, further accelerating our gr…",Senior,Not mentioned
data analyst,Senior BI Engineer (Luxembourg),Amazon,"Jaipur, Rajasthan",,,2022-06-01T21:29:10Z,"Are you passionate about data? Does the prospect of dealing with massive volumes of data excite you? Do you want to create the next-generation tools for intuitive data access for transportation operations? Amazon Transportation Services (ATS) is a the global middle-mile transportation organization within Amazon - as part of the transportation, we ship several millions of packages every year to customer on time with high customer excellence.Find out more about us in this video: https://www.youtu…",Mid-level / Not Specified,excel
data analyst,Senior Business Intelligence Engineer (Luxembourg),Amazon,"Jaipur, Rajasthan",,,2022-06-01T21:29:11Z,"Are you passionate about data? Does the prospect of dealing with massive volumes of data excite you? Do you want to create the next-generation tools for intuitive data access for transportation operations? Amazon Transportation Services (ATS) is a the global middle-mile transportation organization within Amazon - as part of the transportation, we ship several millions of packages every year to customer on time with high customer excellence. Find our more about us in this video: https://www.yout…",Mid-level / Not Specified,excel
data analyst,Business Intelligence Engineer (Luxembourg),Amazon,"Jaipur, Rajasthan",,,2022-06-01T21:29:10Z,"Are you passionate about leveraging data to deliver actionable insight that impacts daily business decisions for Amazon? Does the prospect of dealing with massive volume of data excite you? Amazon Fulfillment Technologies (AFT) powers the physical engine at the heart of Amazon Retail. AFT builds and operates software, hardware, and processes that run the global network of fulfillment centers that move many millions of units of inventory, employ hundreds of thousands of employees, and ensure tha…",Mid-level / Not Specified,Not mentioned
data analyst,Data Scientist (Luxembourg),Amazon,"Jaipur, Rajasthan",,,2022-06-01T21:29:10Z,"Are you a talented and inventive scientist with a strong passion about modern data technologies and interested to improve business processes, extracting value from the data? Would you like to be a part of an organization that is aiming to use self-learning technology to process data in order to support the management of the procurement function? The Global Procurement Technology, as a part of Global Procurement Operations, is seeking a skilled Data Scientist to help build its future data intell…",Mid-level / Not Specified,Not mentioned
business analyst,Business Analyst,Litpix Studio Private Limited,"Jaipur, Rajasthan",200000.0,400000.0,2024-09-07T10:59:13Z,"About the Role: We are seeking a skilled Business Analyst to join our IT team. As a Business Analyst, you will be responsible for bridging the gap between business needs and technology solutions. You will work closely with stakeholders, developers, and project managers to ensure that requirements are gathered, analyzed, and implemented in alignment with the company’s business objectives. This role demands strong analytical, problem-solving, and communication skills, along with a solid understan…",Mid-level / Not Specified,Not mentioned
business analyst,Business Analyst,ToppersNotes,"Jaipur, Rajasthan",600000.0,900000.0,2025-11-26T04:50:09Z,"Job Title: Business Analyst Location: Jaipur, Rajasthan Experience: 1–2 years (preferred) Employment Type: Full-time, Onsite Pay Range -4 to 7 LPA  Role Overview We are seeking a highly analytical and detail-oriented Business Analyst to evaluate business processes, identify areas of improvement, and provide data-driven insights to support strategic decisions. The ideal candidate will have strong problem-solving skills, the ability to work with cross-functional teams, and experience in analyzing…",Mid-level / Not Specified,Not mentioned
business analyst,Business Analyst,White Collar Org,"Jaipur, Rajasthan",400000.0,1200000.0,2022-10-28T05:57:34Z,"Exp: 4 years; Business Analyst Year Skills Required Knowledge in Freelancer, Odesk, Guru & Elance portals. The candidate should be excellent in online Bidding. Generating Business from online Bidding Portals, Proposal writing, Follow ups. Responsible for communicating with the clients through Cold Calls and portal chats. Preparing Business Engagement Documents SOW, SRS, RFP/RFQ, Etc. Understanding Of Web & Mobile Development Concepts & Terminology. Good Communication skills. Must be fluent in E…",Mid-level / Not Specified,excel
business analyst,Business Analyst,Matellio Inc,"Jaipur, Rajasthan",500000.0,2000000.0,2021-05-19T16:09:17Z,"Responsibilities: • Should have experience in Pre-Sales, Business Communication and Technical Documentation. • Should have exposure to International and Digital Techno-sales. • Writing Proposal / Costing / Negotiations / prepare project schedules, review and check procedures and documentation. • Execute in an intense, fast-paced, and highly iterative environment • Work with Global Teams to Optimise the Customer Relationship Assisting in Winning New Sales Projects • Create unique and effective s…",Mid-level / Not Specified,Not mentioned
business analyst,Business Analyst,Biz4group,"Jaipur, Rajasthan",200000.0,600000.0,2019-11-26T08:43:43Z,"Skills Required: Candidate should be able to generate business through online portal likes Upwork, Freelancer, People Per Hour and etc. Candidate Should be able to Understand client's requirements. Excellent written and spoken communication skills. Candidates must have knowledge about IT services. Candidates should be able to write creative proposals. Should be Professional and excellent at time management. Responsible to prepare use cases, Business Requirements Documents(BRD), System Requireme…",Mid-level / Not Specified,excel
business analyst,business analyst,Technoloader,"Jaipur, Rajasthan",200000.0,900000.0,2019-05-24T21:25:36Z,"Technoloader is a blockchain development company which provides a wide array of services based on blockchain such as blockchain development, supply chain development, blockchain POC development, blockchain IOT development, blockchain game development, smart contract development, blockchain consulting services, private blockchain development, cryptocurrency wallet development and hyperledger blockchain development. Skills: Business Analysis, Documentation and Software Requirements Specification …",Mid-level / Not Specified,Not mentioned
business analyst,Business analyst,Pericent BPMDMS software,"Jaipur, Rajasthan",300000.0,500000.0,2026-05-09T12:15:06Z,"Job Title: Pre-Sales Consultant Department: Sales Location: Jaipur, Rajasthan (Full-time, in-office with demo travel) Employment Type: Full-Time, Permanent Experience Required: 2–4 Years Open Positions: 1 Role Summary We are looking for a skilled Pre-Sales Consultant to support our growing sales pipeline by delivering impactful product demonstrations and handling technical engagements. The candidate will play a critical role in driving technical wins during the sales cycle, with deep expertise …",Mid-level / Not Specified,Not mentioned
business analyst,Senior Business Analyst,Talentvibes Solutions,"Jaipur, Rajasthan",1000000.0,1400000.0,2025-10-07T06:43:38Z,"Senior Business Analyst Job Summary We are seeking an experienced Senior Business Analyst to lead business analysis activities, collaborate with senior management, and contribute to strategic initiatives that align with the organization's goals. The Senior Business Analyst will play a key role in driving business process improvements, optimizing efficiency, and ensuring the successful execution of projects. The role involves working with cross-functional teams, providing leadership and mentorsh…",Senior,Not mentioned
business analyst,Sr. Business Analyst,Huron,"Jaipur, Rajasthan",,,2026-06-26T07:25:28Z,"A Business Analyst is responsible for understanding the use cases and business/ technical requirements of a solution to drive documented requirement gathering, vetting, backlog prioritization, and execution through our development and engineering teams. Major Responsibilities Requirement Gathering and Analysis Collaborate with stakeholders (SMEs, PM, PO, and Engineering and Development teams) and users to understand and document use cases/needs. Understand and document both functional and non-f…",Mid-level / Not Specified,Not mentioned
business analyst,Business Analyst with Pre-Sales,Enormous Enterprise LLC,"Jaipur, Rajasthan",,,2026-06-18T06:22:14Z,"Business Analyst with Pre-Sales EXPERIENCE : 2-3 years JOB TYPE : Full Time LOCATION : Jaipur, Rajasthan India Job Description: A "" Business Analyst with Pre-Sales"" role combines technical skills in PHP development with business analysis expertise, focusing on understanding business needs and translating them into functional requirements for PHP-based web applications. Strong experience with Pre-Sales activity Proposal Writing, RFP, Technical Briefing. Work with stakeholders to understand busin…",Mid-level / Not Specified,Not mentioned
business analyst,Business Analyst (Post Sales),Dev Technosys,"Jaipur, Rajasthan",100000.0,400000.0,2022-05-24T05:33:08Z,Publishing documentation in the format required for project delivery. • Communication between the Client and the Technical teams. • Writing case studies and blogs for the projects and websites developed. • Generating Revenue & projects and closing deals with International Clients. • Assists in enforcement of project deadlines and schedules. • Quickly understands the business issues and data challenges of client’s organization and industry. • Creating documents like BRS /SRS and project Cost Est…,Mid-level / Not Specified,Not mentioned
business analyst,dotNet Developer,Variable Soft,"Jaipur, Rajasthan",300000.0,800000.0,2025-03-20T04:31:57Z,Hiring php dot net business analyst android react js Limited vacancy available Dot net MVC (c#) - 3 candidates PHP (Core) - 2 candidates React JS - 2 candidates Android - 2 Experienced in .Dot net mvc( c#) - 6 month - 2 year Experienced in React JS - 6 month - 2year Experienced in PHP - 6 month - 1 year Experienced in Business Analyst - 6 month - 1 year Experienced in Android - 6 month - 1 year Job Location: Jaipur Job Time: Full Time Salary: No bar for good candidate Preferred- Immediate Joine…,Mid-level / Not Specified,Not mentioned
business analyst,Full Stack Engineer,Chipn,"Jaipur, Rajasthan",500000.0,1000000.0,2022-06-04T06:15:54Z,"Collaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain web and mobile-based business applications. Guide team development efforts towards successful project delivery. Identify and encourage areas for growth and improvement within the team. Provide third-level support to business users. Research and evaluate a variety of software products. Analyze and resolve technical and application problems. Develop, refine, and tune …",Mid-level / Not Specified,Not mentioned
business analyst,QA Analyst,Cardekho Group,"Jaipur, Rajasthan",200000.0,500000.0,2023-06-10T16:45:30Z,"Additional Roles & Responsibilities 1. Designing and executing test cases and test plans to identify defects and improve product quality. 2. Collaborating with software developers, project managers, and other stakeholders to identify and address issues and improve the overall product quality. 3. Conducting automated and manual testing to validate functionality and ensure that software meets customer requirements and specifications. 4. Analyzing and interpreting test results to identify trends a…",Mid-level / Not Specified,Not mentioned
business analyst,Power BI,Nexus Jobs,"Jaipur, Rajasthan",,,2026-04-16T05:33:04Z,"Technical Experience Proven hands-on experience with Power BI (designing reports, dashboards, DAX, and dataflows). Strong SQL skills for data querying, modeling, and database management. Familiarity with cloud platforms (Azure, AWS, or Google Cloud) for data storage and processing. Solid understanding of data modeling and ability to create data views. Experience using Python for data manipulation and analysis. Strong analytical thinking and ability to derive insights from complex datasets. Exce…",Mid-level / Not Specified,"sql, python, power bi"
business analyst,Software Engineer : Node js,Synoriq,"Jaipur, Rajasthan",200000.0,850000.0,2022-01-29T04:33:05Z,"We are looking for an experienced top-notch Software Engineer to grow with our development team. As a Node.js engineer, you will be involved from conception to completion with projects that are technologically sound and impactful. What you will do: Work on existing software solutions or new systems on the specified programming language. Translating designs and wireframes into high-quality code. Ensure the best possible performance, quality of the solution you are working on. Working closely wit…",Mid-level / Not Specified,Not mentioned
business analyst,Dynamics 365 Developer,Celebal Technologies Pvt Ltd,"Jaipur, Rajasthan",400000.0,1500000.0,2023-04-06T10:27:30Z,"Role – Dynamics 365 Experience – 3 years & above Location – Remote, Jaipur , Gurgaon, Noida Job Description: · Gather requirements from the client · Proactively builds and manages relationship with client management · Developing business cases, project plans and project documentation. · Deliver projects/work on-time, on-budget, and in a way that accomplishes client goals · Reviews and ensures high quality of work is delivered · Meets deadlines and manages competing priorities under pressure · A…",Mid-level / Not Specified,Not mentioned
business analyst,Junior Analyst,SmartStream,"Jaipur, Rajasthan",,,2026-06-13T14:22:18Z,"Vacancy Reference VN3087 Location Country India Location City Jaipur Description The incumbent will join the Fees & Expense Management department, where they will be responsible for analysing and reconciling various fees related to Settlement, Custody, Clearing and Exchange services in line with client service-level agreements. The role involves onboarding new client, understanding and calculating various fees and handling tasks related to invoice processing and static activities for multiple p…",Mid-level / Not Specified,Not mentioned
business analyst,TECHNICAL LEAD,LMD Consulting,"Jaipur, Rajasthan",,,2026-06-22T18:42:30Z,"Technical Lead Jaipur, Rajasthan 302021, India 5 years Looking for an experienced and innovative Technical Lead to lead our engineering team in developing high-quality, scalable software solutions. The ideal candidate will bring strong technical expertise, leadership, and communication skills to guide architecture, ensure coding excellence, and drive collaboration across teams to deliver impactful, business-aligned products. Job Description We are looking for an experienced and innovative Techn…",Senior,excel
business analyst,"Site Lead (L5), AMZL (Last Mile) - Rajasthan",ASSPL - Rajasthan,"Jaipur, Rajasthan",,,2026-06-23T14:54:08Z,"Amazon.com, Inc. is a US-based multinational electronic commerce company headquartered in Seattle, Washington. Jeff Bezos founded Amazon.com, Inc. in 1994 and launched it online in 1995. Amazon.com started as an online bookstore, but soon diversified, selling DVDs, CDs, MP3 downloads, computer software, video games, electronics, apparel, furniture, food, and toys. Amazon has established separate websites in Canada, the United Kingdom, Germany, France, Italy, Japan, and China. Today, as a market…",Mid-level / Not Specified,Not mentioned
business analyst,Senior Salesforce QA Engineer,Huron Consulting Group,"Jaipur, Rajasthan",,,2026-05-10T09:58:24Z,"Huron is a global consultancy that collaborates with clients to drive strategic growth, ignite innovation and navigate constant change. Through a combination of strategy, expertise and creativity, we help clients accelerate operational, digital and cultural transformation, enabling the change they need to own their future. Join our team as the expert you are now and create your future. Salesforce QA test engineer with 4 years of relevant experience on manual testing. Hands on with testing, test…",Mid-level / Not Specified,Not mentioned
business analyst,Cluster Head - Wealth - Sales - Jaipur - Vaishali Nagar (1st Floor) - MM,Tata Capital,"Jaipur, Rajasthan",,,2026-05-10T02:22:50Z,"Description Business Development, Portfolio Performance Analysis, Portfolio Modeling, Portfolio Management and Business Analytics, Financial Analyst, wealth Management"" • Managing PL of the Region and Building up Market Share • Owning and Establishing Tata Capital Wealth Management Brand for the regions • Recruitment, Nurturing talent,Hand Holding • Reviewing team’s performance for optimisation of revenues • Co Owning clients of the team • Address HNI and ultra HNI clients for investment requir…",Mid-level / Not Specified,Not mentioned
business analyst,Sr.Relationship Manager - Wealth - Jaipur - Golden Leaf - MM,Tata Capital,"Jaipur, Rajasthan",,,2024-07-31T03:20:09Z,"Description 11101 Business Development, Portfolio Performance Analysis, Portfolio Modeling, Portfolio Management and Business Analytics, Financial Analyst, Wealth Management • Address HNI clients for investment requirements, through exclusive product bouquet and superior and seamless service delivery to assist client in achieving his short term and long term investment goals via proper profiling and offering of Debt products, Structures, Equities, MFs and Fund based Real Estate products and oth…",Mid-level / Not Specified,Not mentioned
data analytics,Assistant Professor,Poornima University,"Jaipur, Rajasthan",,,2026-06-03T16:35:17Z,About the Company Require a senior faculty from Analytics Domain who can teach the following subjects to BBA & MBA students for approximately 20 hours per week: Advanced Statistical Methods Introduction to Analytics SQL Python for Data Science Power BI Services Social Media Analytics Big Data Analytics Data Visualisation Time Series Analysis & Forecasting Qualifications Must have a PG Degree from a reputed institution,Senior,"sql, python, power bi"
